id,language,transcript,speech_pitch,speech_energy,mel_mean,mel_std,embedding_dim1,embedding_dim2,emotion
780,Hindi,कृपया गहरी साँस लें।,216.8,0.7,0.33,0.09,0.33,0.28,Surprise
781,French,Laissez-moi ajuster votre oreiller pour plus de confort.,178.75,0.48,0.37,0.14,0.47,0.18,Fear
782,Spanish,¿Puede mover el brazo lentamente?,238.04,0.64,0.27,0.09,0.39,0.2,Joy
783,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,195.21,0.59,0.23,0.12,0.4,0.24,Joy
784,Mandarin,让我帮你调整枕头。,190.9,0.57,0.31,0.1,0.56,0.25,Anger
785,English,We will start your therapy now.,240.79,0.69,0.37,0.11,0.54,0.2,Surprise
786,Hindi,क्या आपको कोई दर्द है?,237.84,0.41,0.29,0.15,0.46,0.22,Fear
787,French,Vous semblez plus détendu aujourd'hui.,158.95,0.67,0.38,0.12,0.3,0.23,Sadness
788,Mandarin,我们来做一些伸展运动。,212.95,0.73,0.38,0.1,0.37,0.16,Sadness
789,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,210.44,0.45,0.34,0.14,0.53,0.23,Sadness
790,Mandarin,你今天看起来更放松。,164.16,0.69,0.29,0.12,0.41,0.15,Surprise
791,French,Nous allons commencer la séance.,226.78,0.42,0.23,0.09,0.54,0.22,Sadness
792,English,We will start your therapy now.,194.07,0.43,0.36,0.14,0.51,0.23,Surprise
793,English,Let me adjust your pillow for comfort.,222.93,0.54,0.24,0.09,0.39,0.2,Fear
794,English,You seem more relaxed today.,207.03,0.57,0.24,0.09,0.43,0.24,Joy
795,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,174.88,0.69,0.37,0.08,0.53,0.23,Anger
796,Mandarin,我现在记录你的血压。,232.04,0.43,0.24,0.13,0.54,0.26,Surprise
797,English,We will start your therapy now.,212.76,0.74,0.38,0.13,0.54,0.23,Fear
798,Hindi,हम आपकी थेरेपी शुरू करेंगे।,201.39,0.64,0.29,0.11,0.54,0.18,Sadness
799,Mandarin,你今天感觉如何？,227.59,0.55,0.36,0.1,0.52,0.23,Joy
800,English,You seem more relaxed today.,218.62,0.51,0.32,0.1,0.39,0.23,Fear
801,Hindi,मैं आपका तकिया सही कर देता हूँ।,157.74,0.49,0.37,0.09,0.52,0.15,Fear
802,French,Essayons quelques exercices d'étirement.,222.91,0.76,0.26,0.14,0.47,0.28,Neutral
803,French,Vous semblez plus détendu aujourd'hui.,242.64,0.52,0.39,0.13,0.33,0.23,Sadness
804,Spanish,Déjeme ajustar su almohada para mayor comodidad.,171.62,0.72,0.2,0.11,0.37,0.29,Sadness
805,Mandarin,我们来做一些伸展运动。,227.34,0.6,0.28,0.11,0.33,0.26,Surprise
806,French,Ressentez-vous de la douleur?,235.69,0.61,0.29,0.11,0.32,0.16,Sadness
807,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,185.62,0.66,0.21,0.12,0.54,0.22,Sadness
808,English,Please take a deep breath.,151.87,0.61,0.29,0.08,0.36,0.17,Anger
809,Spanish,Está progresando bien.,182.01,0.43,0.33,0.12,0.59,0.19,Neutral
810,Mandarin,我现在记录你的血压。,210.26,0.44,0.31,0.09,0.56,0.18,Sadness
811,Hindi,मैं आपका तकिया सही कर देता हूँ।,201.65,0.48,0.26,0.09,0.53,0.22,Surprise
812,Mandarin,请深呼吸。,210.23,0.75,0.29,0.14,0.35,0.22,Neutral
813,English,I will record your blood pressure now.,160.0,0.42,0.33,0.08,0.54,0.28,Neutral
814,Mandarin,你可以慢慢移动手臂吗？,202.06,0.64,0.2,0.12,0.38,0.19,Fear
815,English,How are you feeling today?,229.18,0.74,0.28,0.14,0.3,0.26,Surprise
816,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,205.37,0.4,0.33,0.15,0.42,0.29,Anger
817,Hindi,मैं आपका तकिया सही कर देता हूँ।,159.98,0.73,0.24,0.13,0.53,0.18,Neutral
818,Spanish,Está progresando bien.,222.03,0.73,0.23,0.13,0.31,0.29,Anger
819,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,237.77,0.61,0.2,0.11,0.32,0.18,Sadness
820,Hindi,आप अच्छी प्रगति कर रहे हैं।,172.49,0.77,0.32,0.09,0.47,0.27,Joy
821,French,Je vais enregistrer votre tension artérielle.,188.88,0.68,0.36,0.12,0.53,0.15,Anger
822,English,You are making good progress.,227.72,0.75,0.35,0.11,0.48,0.18,Joy
823,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,179.11,0.6,0.33,0.13,0.38,0.24,Neutral
824,English,I will record your blood pressure now.,184.03,0.41,0.27,0.09,0.57,0.24,Neutral
825,French,Pouvez-vous bouger le bras lentement?,163.64,0.45,0.31,0.14,0.42,0.24,Anger
826,Spanish,¿Tiene algún dolor?,171.43,0.58,0.36,0.12,0.31,0.19,Joy
827,English,Do you feel any pain?,194.29,0.79,0.36,0.12,0.57,0.29,Neutral
828,French,Comment vous sentez-vous aujourd'hui?,220.59,0.72,0.25,0.13,0.33,0.19,Surprise
829,French,Nous allons commencer la séance.,190.21,0.77,0.33,0.08,0.34,0.25,Anger
830,French,Veuillez respirer profondément.,240.9,0.6,0.4,0.11,0.3,0.25,Joy
831,French,Laissez-moi ajuster votre oreiller pour plus de confort.,234.74,0.63,0.28,0.14,0.55,0.23,Sadness
832,English,You are making good progress.,202.81,0.56,0.3,0.1,0.41,0.17,Sadness
833,Spanish,¿Se siente más relajado ahora?,203.75,0.78,0.25,0.13,0.4,0.25,Surprise
834,French,Je vais enregistrer votre tension artérielle.,222.02,0.56,0.23,0.11,0.48,0.3,Joy
835,French,Comment vous sentez-vous aujourd'hui?,179.0,0.45,0.25,0.09,0.46,0.26,Joy
836,Mandarin,我现在记录你的血压。,245.5,0.78,0.31,0.09,0.45,0.23,Joy
837,Spanish,Voy a registrar su presión arterial.,231.78,0.43,0.34,0.11,0.38,0.3,Anger
838,Spanish,¿Puede mover el brazo lentamente?,194.58,0.65,0.33,0.08,0.36,0.18,Fear
839,Hindi,मैं आपका तकिया सही कर देता हूँ।,204.44,0.68,0.27,0.09,0.34,0.21,Anger
840,French,Laissez-moi ajuster votre oreiller pour plus de confort.,152.62,0.75,0.25,0.08,0.53,0.28,Surprise
841,Mandarin,你有疼痛吗？,189.85,0.68,0.4,0.09,0.35,0.2,Fear
842,Hindi,हम आपकी थेरेपी शुरू करेंगे।,150.58,0.48,0.33,0.09,0.57,0.22,Joy
843,French,Comment vous sentez-vous aujourd'hui?,233.7,0.68,0.22,0.1,0.3,0.17,Joy
844,Hindi,आप अच्छी प्रगति कर रहे हैं।,221.68,0.77,0.22,0.15,0.3,0.26,Sadness
845,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,202.02,0.8,0.34,0.13,0.4,0.17,Joy
846,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,198.19,0.53,0.2,0.09,0.38,0.2,Neutral
847,Spanish,Déjeme ajustar su almohada para mayor comodidad.,190.13,0.72,0.33,0.11,0.34,0.26,Surprise
848,French,Comment vous sentez-vous aujourd'hui?,226.11,0.75,0.25,0.13,0.53,0.16,Joy
849,Mandarin,你的康复进展很好。,170.1,0.73,0.36,0.09,0.42,0.21,Neutral
850,English,You seem more relaxed today.,160.45,0.79,0.31,0.11,0.57,0.29,Sadness
851,English,Let me adjust your pillow for comfort.,238.36,0.75,0.21,0.15,0.6,0.17,Neutral
852,Spanish,Parece más relajado hoy.,186.17,0.69,0.34,0.1,0.37,0.23,Anger
853,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,207.9,0.63,0.32,0.1,0.59,0.21,Joy
854,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,248.85,0.55,0.23,0.11,0.48,0.26,Neutral
855,French,Veuillez respirer profondément.,182.03,0.61,0.27,0.1,0.6,0.23,Fear
856,French,Comment vous sentez-vous aujourd'hui?,190.57,0.48,0.33,0.12,0.31,0.26,Joy
857,French,Vous progressez bien.,217.73,0.76,0.36,0.13,0.59,0.22,Fear
858,French,Vous semblez plus détendu aujourd'hui.,210.35,0.49,0.38,0.11,0.34,0.26,Sadness
859,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,170.16,0.8,0.3,0.15,0.55,0.27,Sadness
860,Mandarin,你有疼痛吗？,183.22,0.77,0.24,0.13,0.46,0.21,Sadness
861,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,182.96,0.76,0.31,0.08,0.56,0.19,Sadness
862,Spanish,Está progresando bien.,242.26,0.6,0.25,0.09,0.44,0.27,Sadness
863,Spanish,¿Tiene algún dolor?,187.58,0.73,0.34,0.12,0.58,0.28,Surprise
864,French,Vous progressez bien.,187.09,0.54,0.4,0.08,0.5,0.21,Joy
865,Hindi,क्या आपको कोई दर्द है?,192.83,0.7,0.23,0.12,0.31,0.17,Anger
866,French,Laissez-moi ajuster votre oreiller pour plus de confort.,234.83,0.43,0.25,0.09,0.56,0.16,Joy
867,Mandarin,我现在记录你的血压。,176.73,0.56,0.36,0.1,0.58,0.28,Neutral
868,Mandarin,你的康复进展很好。,242.81,0.77,0.33,0.08,0.55,0.24,Neutral
869,Mandarin,我们来做一些伸展运动。,162.65,0.64,0.36,0.1,0.5,0.29,Neutral
870,French,Nous allons commencer la séance.,221.2,0.71,0.33,0.13,0.45,0.26,Joy
871,Hindi,क्या आपको कोई दर्द है?,245.34,0.57,0.3,0.14,0.34,0.29,Surprise
872,Spanish,Voy a registrar su presión arterial.,235.56,0.48,0.25,0.12,0.56,0.19,Surprise
873,Spanish,Vamos a comenzar la terapia.,190.29,0.43,0.25,0.09,0.41,0.27,Joy
874,French,Essayons quelques exercices d'étirement.,173.98,0.44,0.26,0.15,0.45,0.24,Fear
875,English,Please take a deep breath.,153.25,0.52,0.2,0.14,0.36,0.29,Fear
876,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,163.86,0.66,0.26,0.11,0.49,0.21,Surprise
877,Spanish,Parece más relajado hoy.,152.43,0.68,0.26,0.09,0.48,0.2,Joy
878,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,207.57,0.62,0.22,0.09,0.44,0.25,Neutral
879,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,193.53,0.56,0.31,0.14,0.46,0.17,Fear
880,Mandarin,我们来做一些伸展运动。,248.33,0.62,0.22,0.11,0.56,0.29,Neutral
881,Hindi,कृपया गहरी साँस लें।,246.87,0.78,0.25,0.13,0.56,0.2,Neutral
882,English,Please take a deep breath.,232.59,0.44,0.26,0.12,0.59,0.25,Surprise
883,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,158.54,0.54,0.36,0.14,0.3,0.16,Fear
884,French,Vous progressez bien.,172.95,0.64,0.38,0.1,0.39,0.16,Fear
885,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,185.11,0.77,0.22,0.14,0.3,0.22,Surprise
886,French,Vous progressez bien.,164.23,0.64,0.24,0.13,0.4,0.23,Sadness
887,English,We will start your therapy now.,204.28,0.52,0.28,0.11,0.49,0.3,Fear
888,French,Je vais enregistrer votre tension artérielle.,239.23,0.63,0.21,0.13,0.37,0.26,Neutral
889,Mandarin,我们现在开始治疗。,170.56,0.53,0.24,0.09,0.45,0.26,Fear
890,Mandarin,让我帮你调整枕头。,192.92,0.64,0.22,0.15,0.33,0.26,Neutral
891,Mandarin,我现在记录你的血压。,228.2,0.48,0.31,0.13,0.5,0.19,Neutral
892,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,231.75,0.64,0.32,0.15,0.53,0.2,Anger
893,Mandarin,你可以慢慢移动手臂吗？,211.88,0.73,0.22,0.13,0.48,0.24,Sadness
894,English,Please take a deep breath.,175.21,0.54,0.29,0.09,0.57,0.18,Neutral
895,Spanish,Déjeme ajustar su almohada para mayor comodidad.,188.41,0.62,0.36,0.13,0.36,0.26,Fear
896,Spanish,Vamos a comenzar la terapia.,208.67,0.58,0.34,0.13,0.54,0.28,Anger
897,French,Comment vous sentez-vous aujourd'hui?,240.16,0.5,0.38,0.08,0.48,0.22,Fear
898,Hindi,हम आपकी थेरेपी शुरू करेंगे।,238.04,0.75,0.2,0.13,0.55,0.21,Surprise
899,Mandarin,我们来做一些伸展运动。,159.91,0.69,0.3,0.15,0.52,0.28,Surprise
900,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,175.3,0.45,0.4,0.1,0.47,0.29,Joy
901,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,191.0,0.51,0.36,0.13,0.46,0.28,Surprise
902,Spanish,Voy a registrar su presión arterial.,199.76,0.52,0.22,0.1,0.44,0.19,Neutral
903,French,Vous semblez plus détendu aujourd'hui.,168.16,0.52,0.34,0.12,0.4,0.26,Joy
904,Spanish,Está progresando bien.,230.17,0.45,0.23,0.12,0.31,0.19,Anger
905,Spanish,¿Puede mover el brazo lentamente?,242.28,0.64,0.24,0.11,0.39,0.19,Anger
906,French,Vous semblez plus détendu aujourd'hui.,154.27,0.77,0.22,0.11,0.42,0.19,Surprise
907,English,I will record your blood pressure now.,173.5,0.64,0.35,0.12,0.59,0.21,Neutral
908,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,163.99,0.41,0.38,0.09,0.34,0.16,Fear
909,Spanish,¿Se siente más relajado ahora?,208.04,0.75,0.2,0.14,0.56,0.29,Anger
910,English,How are you feeling today?,202.12,0.53,0.33,0.09,0.52,0.17,Sadness
911,English,We will start your therapy now.,232.44,0.72,0.38,0.13,0.46,0.24,Sadness
912,Mandarin,你今天看起来更放松。,245.2,0.79,0.25,0.14,0.46,0.28,Joy
913,Spanish,Está progresando bien.,177.12,0.6,0.27,0.15,0.52,0.26,Sadness
914,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,173.97,0.42,0.24,0.14,0.48,0.18,Sadness
915,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,156.5,0.77,0.39,0.1,0.45,0.22,Surprise
916,Spanish,Está progresando bien.,239.74,0.72,0.22,0.11,0.56,0.17,Anger
917,English,How are you feeling today?,152.74,0.79,0.36,0.13,0.43,0.27,Neutral
918,Spanish,¿Puede mover el brazo lentamente?,204.77,0.62,0.35,0.11,0.42,0.16,Fear
919,Hindi,हम आपकी थेरेपी शुरू करेंगे।,176.73,0.67,0.26,0.13,0.57,0.26,Joy
920,Hindi,कृपया गहरी साँस लें।,150.95,0.42,0.23,0.11,0.36,0.28,Surprise
921,English,You are making good progress.,225.82,0.44,0.31,0.14,0.33,0.2,Surprise
922,English,We will start your therapy now.,166.22,0.57,0.31,0.14,0.42,0.2,Surprise
923,Hindi,आप अच्छी प्रगति कर रहे हैं।,232.43,0.49,0.3,0.11,0.38,0.18,Anger
924,French,Ressentez-vous de la douleur?,191.88,0.77,0.27,0.09,0.3,0.27,Surprise
925,Mandarin,你可以慢慢移动手臂吗？,152.91,0.6,0.28,0.13,0.36,0.24,Fear
926,French,Je vais enregistrer votre tension artérielle.,194.25,0.77,0.3,0.08,0.35,0.27,Fear
927,Mandarin,让我帮你调整枕头。,222.19,0.66,0.31,0.09,0.31,0.3,Joy
928,English,We will start your therapy now.,153.47,0.79,0.23,0.08,0.4,0.18,Sadness
929,English,I will record your blood pressure now.,231.1,0.79,0.37,0.14,0.41,0.23,Sadness
930,French,Vous semblez plus détendu aujourd'hui.,221.31,0.43,0.22,0.12,0.38,0.21,Joy
931,English,I will record your blood pressure now.,180.68,0.5,0.33,0.14,0.56,0.22,Sadness
932,Spanish,Parece más relajado hoy.,182.03,0.78,0.25,0.1,0.41,0.17,Sadness
933,French,Je vais enregistrer votre tension artérielle.,197.57,0.72,0.39,0.14,0.33,0.22,Joy
934,Mandarin,请深呼吸。,237.64,0.47,0.4,0.09,0.45,0.27,Neutral
935,English,You seem more relaxed today.,162.4,0.57,0.33,0.08,0.55,0.23,Neutral
936,Spanish,¿Tiene algún dolor?,181.63,0.8,0.37,0.09,0.48,0.22,Anger
937,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,233.12,0.57,0.33,0.08,0.46,0.27,Joy
938,Mandarin,我们现在开始治疗。,238.32,0.69,0.21,0.13,0.55,0.23,Fear
939,English,Please take a deep breath.,208.8,0.65,0.4,0.13,0.48,0.28,Sadness
940,Spanish,Por favor respire profundamente.,185.66,0.41,0.33,0.08,0.39,0.26,Neutral
941,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,242.59,0.76,0.28,0.14,0.32,0.28,Sadness
942,Mandarin,你今天看起来更放松。,210.52,0.73,0.4,0.1,0.34,0.19,Fear
943,Mandarin,让我帮你调整枕头。,184.87,0.56,0.22,0.12,0.57,0.25,Sadness
944,Spanish,Déjeme ajustar su almohada para mayor comodidad.,207.81,0.44,0.37,0.14,0.46,0.22,Fear
945,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,193.73,0.72,0.38,0.14,0.53,0.3,Neutral
946,English,Let's try a few stretching exercises.,204.51,0.5,0.35,0.13,0.55,0.29,Surprise
947,French,Essayons quelques exercices d'étirement.,201.8,0.66,0.3,0.12,0.42,0.26,Neutral
948,English,How are you feeling today?,161.06,0.73,0.37,0.1,0.5,0.19,Sadness
949,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,228.98,0.49,0.39,0.08,0.44,0.16,Surprise
950,French,Nous allons commencer la séance.,182.52,0.7,0.27,0.11,0.49,0.21,Surprise
951,English,Please take a deep breath.,171.87,0.44,0.28,0.13,0.42,0.25,Fear
952,French,Je vais enregistrer votre tension artérielle.,152.27,0.55,0.31,0.09,0.43,0.18,Joy
953,French,Nous allons commencer la séance.,223.15,0.64,0.35,0.1,0.56,0.17,Fear
954,English,How are you feeling today?,241.02,0.57,0.3,0.09,0.53,0.26,Fear
955,Mandarin,你的康复进展很好。,184.01,0.69,0.29,0.11,0.43,0.18,Neutral
956,English,Do you feel any pain?,204.05,0.77,0.22,0.1,0.48,0.28,Neutral
957,English,Do you feel any pain?,214.15,0.44,0.21,0.08,0.32,0.27,Surprise
958,French,Laissez-moi ajuster votre oreiller pour plus de confort.,201.45,0.49,0.27,0.11,0.52,0.2,Sadness
959,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,199.57,0.8,0.32,0.15,0.46,0.21,Joy
960,Spanish,Déjeme ajustar su almohada para mayor comodidad.,201.85,0.59,0.22,0.09,0.5,0.25,Surprise
961,Mandarin,你有疼痛吗？,221.97,0.48,0.3,0.13,0.5,0.19,Anger
962,Mandarin,你今天看起来更放松。,237.41,0.74,0.36,0.13,0.57,0.21,Neutral
963,French,Veuillez respirer profondément.,176.93,0.72,0.29,0.13,0.53,0.26,Neutral
964,French,Veuillez respirer profondément.,244.57,0.7,0.37,0.15,0.54,0.26,Surprise
965,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,152.72,0.41,0.37,0.13,0.57,0.28,Neutral
966,Mandarin,让我帮你调整枕头。,163.45,0.55,0.21,0.14,0.57,0.19,Anger
967,Mandarin,请深呼吸。,192.92,0.79,0.28,0.15,0.44,0.25,Sadness
968,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,181.19,0.45,0.36,0.12,0.35,0.19,Fear
969,Mandarin,你今天感觉如何？,199.86,0.47,0.26,0.09,0.33,0.26,Joy
970,Spanish,¿Tiene algún dolor?,221.78,0.58,0.38,0.12,0.5,0.22,Anger
971,Spanish,Por favor respire profundamente.,202.32,0.48,0.39,0.11,0.31,0.23,Fear
972,English,How are you feeling today?,180.75,0.47,0.24,0.13,0.6,0.16,Surprise
973,English,Can you move your arm slowly?,197.18,0.69,0.2,0.13,0.56,0.18,Neutral
974,Hindi,आप अच्छी प्रगति कर रहे हैं।,231.75,0.62,0.29,0.08,0.58,0.29,Neutral
975,Spanish,Está progresando bien.,220.59,0.48,0.2,0.13,0.55,0.18,Neutral
976,English,Let's try a few stretching exercises.,237.0,0.66,0.22,0.08,0.33,0.29,Sadness
977,Spanish,Está progresando bien.,219.38,0.54,0.31,0.11,0.34,0.16,Sadness
978,French,Comment vous sentez-vous aujourd'hui?,183.55,0.4,0.22,0.1,0.43,0.27,Neutral
979,Hindi,आप अच्छी प्रगति कर रहे हैं।,181.2,0.76,0.39,0.14,0.41,0.28,Sadness
980,Spanish,Por favor respire profundamente.,151.09,0.44,0.38,0.13,0.57,0.23,Neutral
981,English,Do you feel any pain?,157.13,0.78,0.26,0.12,0.36,0.18,Joy
982,Hindi,मैं आपका तकिया सही कर देता हूँ।,183.59,0.57,0.39,0.09,0.52,0.29,Surprise
983,French,Nous allons commencer la séance.,197.79,0.72,0.32,0.15,0.48,0.17,Anger
984,Mandarin,请深呼吸。,216.22,0.61,0.36,0.11,0.55,0.28,Sadness
985,French,Comment vous sentez-vous aujourd'hui?,246.24,0.43,0.36,0.11,0.42,0.23,Fear
986,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,150.4,0.52,0.31,0.12,0.3,0.19,Neutral
987,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,165.44,0.76,0.3,0.15,0.54,0.22,Joy
988,Hindi,मैं आपका तकिया सही कर देता हूँ।,178.85,0.55,0.36,0.12,0.38,0.18,Joy
989,Mandarin,你今天感觉如何？,186.01,0.7,0.34,0.08,0.56,0.28,Fear
990,English,You are making good progress.,189.66,0.74,0.37,0.08,0.35,0.26,Anger
991,Hindi,कृपया गहरी साँस लें।,192.51,0.54,0.35,0.09,0.41,0.17,Sadness
992,Spanish,Por favor respire profundamente.,187.87,0.69,0.22,0.09,0.54,0.24,Sadness
993,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,174.9,0.65,0.37,0.15,0.53,0.24,Joy
994,English,We will start your therapy now.,201.29,0.52,0.24,0.12,0.51,0.25,Sadness
995,French,Comment vous sentez-vous aujourd'hui?,159.72,0.46,0.23,0.14,0.36,0.19,Anger
996,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,154.91,0.79,0.24,0.12,0.58,0.19,Surprise
997,Mandarin,我们现在开始治疗。,246.32,0.7,0.22,0.13,0.46,0.18,Joy
998,English,You seem more relaxed today.,160.81,0.69,0.37,0.1,0.45,0.21,Anger
999,French,Vous semblez plus détendu aujourd'hui.,182.2,0.48,0.4,0.09,0.45,0.16,Surprise
1000,English,Do you feel any pain?,224.24,0.48,0.37,0.09,0.42,0.29,Sadness
1001,English,You are making good progress.,186.21,0.71,0.24,0.14,0.46,0.2,Sadness
1002,French,Comment vous sentez-vous aujourd'hui?,165.84,0.49,0.26,0.15,0.57,0.16,Neutral
1003,French,Nous allons commencer la séance.,151.92,0.63,0.35,0.12,0.52,0.21,Sadness
1004,Mandarin,让我帮你调整枕头。,206.08,0.51,0.38,0.08,0.47,0.18,Fear
1005,Mandarin,我们来做一些伸展运动。,223.8,0.63,0.33,0.1,0.54,0.25,Neutral
1006,French,Je vais enregistrer votre tension artérielle.,166.11,0.42,0.26,0.14,0.53,0.19,Fear
1007,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,181.63,0.68,0.28,0.12,0.55,0.25,Joy
1008,English,Let me adjust your pillow for comfort.,183.29,0.78,0.23,0.1,0.38,0.23,Joy
1009,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,236.7,0.5,0.2,0.11,0.56,0.26,Sadness
1010,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,236.75,0.7,0.23,0.14,0.47,0.28,Anger
1011,French,Nous allons commencer la séance.,200.81,0.78,0.32,0.14,0.53,0.23,Anger
1012,Hindi,कृपया गहरी साँस लें।,177.49,0.52,0.32,0.1,0.58,0.23,Neutral
1013,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,215.75,0.42,0.32,0.08,0.55,0.2,Anger
1014,English,Let's try a few stretching exercises.,180.05,0.53,0.39,0.13,0.5,0.16,Fear
1015,Mandarin,你可以慢慢移动手臂吗？,166.69,0.41,0.3,0.12,0.36,0.21,Fear
1016,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,187.84,0.73,0.29,0.12,0.59,0.28,Sadness
1017,Spanish,¿Tiene algún dolor?,215.81,0.44,0.23,0.11,0.35,0.25,Joy
1018,English,Let me adjust your pillow for comfort.,201.91,0.52,0.33,0.12,0.5,0.17,Neutral
1019,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,221.23,0.6,0.29,0.09,0.49,0.29,Neutral
1020,Spanish,¿Se siente más relajado ahora?,170.89,0.53,0.21,0.09,0.51,0.22,Surprise
1021,Mandarin,我现在记录你的血压。,214.84,0.72,0.26,0.11,0.52,0.3,Sadness
1022,Hindi,कृपया गहरी साँस लें।,231.84,0.48,0.33,0.1,0.59,0.26,Neutral
1023,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,189.86,0.78,0.27,0.12,0.47,0.23,Neutral
1024,Spanish,Está progresando bien.,241.29,0.54,0.23,0.12,0.46,0.25,Anger
1025,Spanish,Parece más relajado hoy.,180.2,0.58,0.33,0.15,0.49,0.16,Sadness
1026,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,218.0,0.56,0.26,0.11,0.31,0.25,Anger
1027,Hindi,कृपया गहरी साँस लें।,189.4,0.52,0.36,0.13,0.39,0.3,Neutral
1028,Mandarin,你今天看起来更放松。,202.27,0.46,0.26,0.12,0.54,0.2,Sadness
1029,Mandarin,我们来做一些伸展运动。,247.97,0.44,0.23,0.12,0.37,0.27,Surprise
1030,Spanish,Déjeme ajustar su almohada para mayor comodidad.,156.71,0.7,0.34,0.09,0.58,0.17,Neutral
1031,Hindi,आप अच्छी प्रगति कर रहे हैं।,236.31,0.44,0.3,0.12,0.41,0.28,Neutral
1032,French,Veuillez respirer profondément.,164.3,0.53,0.29,0.15,0.39,0.22,Anger
1033,French,Vous semblez plus détendu aujourd'hui.,166.71,0.5,0.27,0.12,0.6,0.22,Neutral
1034,Spanish,¿Puede mover el brazo lentamente?,197.8,0.7,0.23,0.13,0.49,0.29,Joy
1035,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,183.07,0.43,0.25,0.09,0.47,0.17,Anger
1036,French,Pouvez-vous bouger le bras lentement?,154.58,0.42,0.26,0.12,0.33,0.29,Sadness
1037,English,Can you move your arm slowly?,211.31,0.53,0.38,0.13,0.52,0.25,Neutral
1038,Hindi,हम आपकी थेरेपी शुरू करेंगे।,162.73,0.65,0.34,0.15,0.55,0.3,Sadness
1039,French,Ressentez-vous de la douleur?,208.17,0.43,0.23,0.1,0.38,0.16,Anger
1040,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,183.25,0.73,0.35,0.08,0.56,0.23,Anger
1041,English,Can you move your arm slowly?,190.87,0.65,0.34,0.08,0.45,0.28,Anger
1042,Spanish,Por favor respire profundamente.,229.71,0.6,0.25,0.13,0.58,0.21,Fear
1043,Spanish,Por favor respire profundamente.,206.5,0.64,0.26,0.11,0.38,0.2,Joy
1044,French,Veuillez respirer profondément.,205.48,0.76,0.38,0.11,0.41,0.26,Surprise
1045,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,174.64,0.64,0.26,0.1,0.5,0.27,Anger
1046,Hindi,मैं आपका तकिया सही कर देता हूँ।,179.77,0.57,0.2,0.13,0.49,0.28,Sadness
1047,English,You are making good progress.,217.57,0.46,0.32,0.1,0.44,0.25,Anger
1048,Mandarin,我现在记录你的血压。,198.77,0.52,0.39,0.13,0.47,0.23,Fear
1049,Spanish,Parece más relajado hoy.,213.27,0.59,0.22,0.13,0.42,0.24,Sadness
1050,Mandarin,你今天看起来更放松。,152.34,0.48,0.21,0.08,0.59,0.28,Fear
1051,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,209.7,0.41,0.29,0.14,0.57,0.21,Joy
1052,Spanish,¿Se siente más relajado ahora?,220.91,0.78,0.36,0.12,0.42,0.23,Fear
